,population,life_expectancy,gnp,gnp_old
0,103000,78.4,828.0,793.0
1,22720000,45.9,5976.0,
2,12878000,38.3,6648.0,7984.0
3,8000,76.1,63.2,
4,3401200,71.6,3205.0,2500.0
5,78000,83.5,1630.0,
6,217000,74.7,1941.0,
7,2441000,74.1,37966.0,36846.0
8,37032000,75.1,340238.0,323310.0
9,3520000,66.4,1813.0,1627.0
10,68000,75.1,334.0,
11,0,,0.0,
12,0,,0.0,
13,68000,70.5,612.0,584.0
14,18886000,79.8,351182.0,392911.0
15,8091800,77.7,211860.0,206025.0
16,7734000,62.9,4127.0,4100.0
17,6695000,46.2,903.0,982.0
18,10239000,77.8,249704.0,243948.0
19,6097000,50.2,2357.0,2141.0
20,11937000,46.7,2425.0,2201.0
21,129155000,60.2,32852.0,31966.0
22,8190900,70.9,12178.0,10169.0
23,617000,73.0,6366.0,6097.0
24,307000,71.1,3527.0,3347.0
25,3972000,71.5,2841.0,
26,10236000,68.0,13714.0,
27,241000,70.9,630.0,616.0
28,65000,76.9,2328.0,2190.0
29,8329000,63.7,8571.0,7967.0
30,170115000,62.9,776739.0,804108.0
31,270000,73.0,2223.0,2186.0
32,328000,73.6,11705.0,12460.0
33,2124000,52.4,372.0,383.0
34,0,,0.0,
35,1622000,39.3,4834.0,4935.0
36,3615000,44.0,1054.0,993.0
37,31147000,79.4,598862.0,625626.0
38,600,,0.0,
39,7160400,79.6,264478.0,256092.0
40,15211000,75.7,72949.0,75780.0
41,1277558000,71.4,982268.0,917719.0
42,14786000,45.2,11345.0,10285.0
43,15085000,54.8,9174.0,8596.0
44,51654000,48.8,6964.0,2474.0
45,2943000,47.4,2108.0,2287.0
46,20000,71.1,100.0,
47,42321000,70.3,102896.0,105116.0
48,578000,60.0,4401.0,4361.0
49,428000,68.9,435.0,420.0
50,4023000,75.8,10226.0,9757.0
51,11201000,76.2,17843.0,18862.0
52,2500,,0.0,
53,38000,78.9,1263.0,1186.0
54,754700,76.7,9333.0,8246.0
55,10278100,74.5,55017.0,52037.0
56,82164700,77.4,2133367.0,2102826.0
57,638000,50.8,382.0,373.0
58,71000,73.4,256.0,243.0
59,5330000,76.5,174099.0,169264.0
60,8495000,73.2,15846.0,15076.0
61,31471000,69.7,49982.0,46966.0
62,12646000,71.1,19770.0,19769.0
63,68470000,63.3,82710.0,75617.0
64,3850000,55.8,650.0,755.0
65,293000,49.8,60.0,
66,39441700,78.8,553233.0,532031.0
67,1439200,69.5,5328.0,3371.0
68,62565000,45.2,6353.0,6180.0
69,5171300,77.4,121914.0,119833.0
70,817000,67.9,1536.0,2149.0
71,2000,,0.0,
72,59225700,78.8,1424285.0,1392448.0
73,43000,78.4,0.0,
74,119000,68.6,212.0,
75,1226000,50.1,5493.0,5279.0
76,59623400,77.7,1378330.0,1296830.0
77,4968000,64.5,6064.0,5924.0
78,20212000,57.4,7137.0,6884.0
79,25000,79.0,258.0,
80,7430000,45.6,2352.0,2383.0
81,456000,77.0,3501.0,
82,1305000,53.2,320.0,325.0
83,1213000,49.0,293.0,272.0
84,453000,53.6,283.0,542.0
85,10545700,78.4,120724.0,119946.0
86,94000,64.5,318.0,
87,56000,68.1,0.0,
88,11385000,66.2,19008.0,17797.0
89,181000,76.1,681.0,
90,168000,77.8,1197.0,1136.0
91,861000,64.0,722.0,743.0
92,6782000,79.5,166448.0,173610.0
93,0,,0.0,
94,6485000,69.9,5333.0,4697.0
95,4473000,73.7,20208.0,19300.0
96,8222000,49.2,3459.0,3107.0
97,10043200,71.4,48267.0,45914.0
98,212107000,68.0,84982.0,215002.0
99,1013662000,62.5,447114.0,430572.0
100,0,,0.0,
101,3775100,76.8,75921.0,73132.0
102,67702000,69.7,195746.0,160151.0
103,23115000,66.5,11500.0,
104,279000,79.4,8255.0,7474.0
105,6217000,78.6,97477.0,98577.0
106,57680000,79.0,1161755.0,1145372.0
107,2583000,75.2,6871.0,6722.0
108,5083000,77.4,7526.0,7051.0
109,126714000,80.7,3787042.0,4192638.0
110,16223000,63.2,24375.0,23383.0
111,30080000,48.0,9217.0,10241.0
112,4699000,63.4,1626.0,1767.0
113,11168000,56.5,5121.0,5670.0
114,83000,59.8,40.7,
115,38000,70.7,299.0,
116,46844000,74.4,320749.0,442544.0
117,1972000,76.1,27037.0,30373.0
118,5433000,53.1,1292.0,1746.0
119,3282000,71.3,17121.0,15129.0
120,3154000,51.0,2012.0,
121,5605000,75.5,44806.0,40562.0
122,154000,72.3,571.0,
123,32300,78.8,1119.0,1084.0
124,18827000,71.8,15706.0,15091.0
125,2153000,50.8,1061.0,1161.0
126,3698500,69.1,10692.0,9585.0
127,435700,77.1,16321.0,15519.0
128,2424200,68.4,6398.0,5639.0
129,473000,81.6,5749.0,5940.0
130,28351000,69.1,36124.0,33514.0
131,34000,78.8,776.0,
132,4380000,64.5,1579.0,1872.0
133,15942000,55.0,3750.0,3545.0
134,286000,62.2,199.0,
135,98881000,71.5,414972.0,401461.0
136,64000,65.5,97.0,
137,2024000,73.8,1694.0,1915.0
138,11234000,46.7,2642.0,2453.0
139,380200,77.9,3512.0,3338.0
140,45611000,54.9,180375.0,171028.0
141,2662000,67.3,1043.0,933.0
142,78000,75.5,0.0,
143,19680000,37.5,2891.0,2711.0
144,2670000,50.8,998.0,1081.0
145,11000,78.0,109.0,
146,395000,78.3,2731.0,2559.0
147,1158000,71.0,4251.0,4186.0
148,10925000,37.6,1687.0,2527.0
149,22244000,70.8,69213.0,97884.0
150,149000,59.5,0.0,
151,1726000,42.5,3101.0,3384.0
152,214000,72.8,3563.0,
153,10730000,41.3,1706.0,1580.0
154,2000,,0.0,
155,111506000,51.6,65707.0,58623.0
156,5074000,68.7,1988.0,2023.0
157,2000,,0.0,
158,15864000,78.3,371362.0,360478.0
159,4478500,78.7,145895.0,153370.0
160,23930000,57.8,4768.0,4837.0
161,12000,60.8,197.0,
162,3862000,77.8,54669.0,64960.0
