continent,gnp,gnp_old,life_expectancy
North America,828.0,793.0,78.4
North America,63.2,,76.1
North America,1941.0,,74.7
North America,612.0,584.0,70.5
North America,3527.0,3347.0,71.1
North America,630.0,616.0,70.9
North America,2328.0,2190.0,76.9
North America,2223.0,2186.0,73.0
North America,598862.0,625626.0,79.4
North America,10226.0,9757.0,75.8
North America,17843.0,18862.0,76.2
North America,1263.0,1186.0,78.9
North America,256.0,243.0,73.4
North America,15846.0,15076.0,73.2
North America,3501.0,,77.0
North America,318.0,,64.5
North America,0.0,,68.1
North America,19008.0,17797.0,66.2
North America,5333.0,4697.0,69.9
North America,3459.0,3107.0,49.2
North America,6871.0,6722.0,75.2
North America,299.0,,70.7
North America,571.0,,72.3
North America,414972.0,401461.0,71.5
North America,109.0,,78.0
North America,2731.0,2559.0,78.3
North America,1988.0,2023.0,68.7
North America,9131.0,8700.0,75.5
North America,34100.0,32100.0,75.6
North America,11863.0,11203.0,69.7
North America,0.0,,77.6
North America,96.0,,73.3
North America,6232.0,5867.0,68.0
North America,8510700.0,8110900.0,77.1
North America,285.0,,72.3
North America,612.0,573.0,75.4
North America,0.0,,78.1
Europe,3205.0,2500.0,71.6
Europe,1630.0,,83.5
Europe,211860.0,206025.0,77.7
Europe,249704.0,243948.0,77.8
Europe,12178.0,10169.0,70.9
Europe,2841.0,,71.5
Europe,13714.0,,68.0
Europe,264478.0,256092.0,79.6
Europe,55017.0,52037.0,74.5
Europe,2133367.0,2102826.0,77.4
Europe,174099.0,169264.0,76.5
Europe,553233.0,532031.0,78.8
Europe,5328.0,3371.0,69.5
Europe,121914.0,119833.0,77.4
Europe,1424285.0,1392448.0,78.8
Europe,0.0,,78.4
Europe,1378330.0,1296830.0,77.7
Europe,258.0,,79.0
Europe,120724.0,119946.0,78.4
Europe,20208.0,19300.0,73.7
Europe,48267.0,45914.0,71.4
Europe,75921.0,73132.0,76.8
Europe,8255.0,7474.0,79.4
Europe,1161755.0,1145372.0,79.0
Europe,1119.0,1084.0,78.8
Europe,10692.0,9585.0,69.1
Europe,16321.0,15519.0,77.1
Europe,6398.0,5639.0,68.4
Europe,776.0,,78.8
Europe,1579.0,1872.0,64.5
Europe,1694.0,1915.0,73.8
Europe,3512.0,3338.0,77.9
Europe,371362.0,360478.0,78.3
Europe,145895.0,153370.0,78.7
Europe,151697.0,135636.0,73.2
Europe,105954.0,102133.0,75.8
Europe,38158.0,34843.0,69.9
Europe,276608.0,442989.0,67.2
Europe,0.0,,
Europe,510.0,,81.1
Europe,20594.0,19452.0,73.7
Europe,19756.0,18202.0,74.9
Europe,226492.0,227757.0,79.6
Europe,42168.0,49677.0,66.0
Europe,9.0,,
Europe,17000.0,,72.4
